MPH Code,Channel,Product No,Policy/CoI Number,UIN,Product Option Code,Base Cover ID,Inbuilt Cover ID,Spouse Cover/Joint Life ID,Coverage Effective date,Expiry Date,maturity date,PH DOB,PH Entry Age,Premium,Premium Term_Month,Premium Frequency,Premium Mode,SA_code,Sum Assured,Current SA,Smoker Status,Occupation code,State Code,PH Gender,Status,Area,Policy Term_Month,premium_payment_term (PPT),Blank1,Blank2,Blank3,Blank4,Blank5,Blank6,Blank7,Blank8,Blank9,Blank10,Product Rider ID,Rider Type,Rider effective date,Rider term,Rider premium,Rider expiry date,Rider Sum Assured,Treaty type,Treaty ID,Reins premium,Reins SA,Retention %,Retention Amount,Reins commission
KIARMPH001,SVOJBK0001,1,232718,163N001V01,,CARKS_BDB,,Single Life,31-08-2023,30-09-2024,30-09-2024,01-01-1976,47,86.1,1,Annual,0,Level,30000,30000,,Self employed,TAMIL NADU,Female,Inf,NA,13,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
KIARMPH001,SVOJBK0001,1,232719,163N001V01,,CARKS_BDB,,Single Life,31-08-2023,30-09-2024,30-09-2024,01-01-1975,48,86.1,1,Annual,0,Level,30000,30000,,Self employed,TAMIL NADU,Male,Inf,NA,13,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
KIARMPH001,SVOJBK0001,1,78509,163N001V01,,CARKS_BDB,,Single Life,11-08-2023,11-09-2024,11-09-2024,27-03-1993,30,86.1,1,Annual,0,Level,30000,30000,,Self employed,TAMIL NADU,Female,Inf,NA,13,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
KIARMPH001,SVOJBK0001,1,78510,163N001V01,,CARKS_BDB,,Single Life,11-08-2023,11-09-2024,11-09-2024,17-09-1986,36,86.1,1,Annual,0,Level,30000,30000,,Self employed,TAMIL NADU,Male,Inf,NA,13,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
KIARMPH001,SVOJBK0001,1,26524,163N001V01,,CARKS_BDB,,Single Life,23-06-2023,23-07-2024,23-07-2024,01-01-1970,53,86.1,1,Annual,0,Level,30000,30000,,self employed,TAMIL NADU,Female,Inf,NA,13,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
KIARMPH001,SVOJBK0001,1,26525,163N001V01,,CARKS_BDB,,Single Life,23-06-2023,23-07-2024,23-07-2024,04-04-1969,54,86.1,1,Annual,0,Level,30000,30000,,self employed,TAMIL NADU,Male,Inf,NA,13,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
KIARMPH001,SVOJBK0001,1,25424,163N001V01,,CARKS_BDB,,Single Life,14-06-2023,14-12-2024,14-12-2024,17-06-1981,41,199,1,Annual,0,Level,50000,50000,,Self employed,TAMIL NADU,Female,Inf,NA,18,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
KIARMPH001,SVOJBK0001,1,25425,163N001V01,,CARKS_BDB,,Single Life,14-06-2023,14-12-2024,14-12-2024,10-08-1978,44,199,1,Annual,0,Level,50000,50000,,Self employed,TAMIL NADU,Male,Inf,NA,18,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
KIARMPH001,SVOJBK0001,1,73256,163N001V01,,CARKS_BDB,,Single Life,21-07-2023,21-07-2025,21-07-2025,30-07-1994,28,265,1,Annual,0,Level,50000,50000,,Self employed,TAMIL NADU,Female,Inf,NA,24,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
KIARMPH001,SVOJBK0001,1,73257,163N001V01,,CARKS_BDB,,Single Life,21-07-2023,21-07-2025,21-07-2025,01-01-1992,31,265,1,Annual,0,Level,50000,50000,,Self employed,TAMIL NADU,Male,Inf,NA,24,0,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
